,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
53,1,2.0,9.0,38,2742,,blink,9.0,,416.788315575185,,139.45787894557986,,154.50728138181705,study,2706,obj2start,3.0,423,3,820.0,820.0,540.0,,687.9,650.0,210.0,210.0,,254.7
54,1,2.0,9.0,88,2830,obj3end,ESACC,9.0,426.9357094458134,424.1150787227448,172.54014025727463,99.28544707055512,123.10199023573907,186.33732852007938,study,2744,obj2start,3.0,423,3,820.0,820.0,540.0,653.9,724.4,650.0,210.0,210.0,256.7,236.8
55,1,2.0,9.0,356,3186,,EFIX,9.0,,419.52622087302234,,145.63739217659725,,147.9265020204291,study,2832,obj2start,3.0,423,3,820.0,820.0,540.0,,681.2,650.0,210.0,210.0,,254.1
56,1,2.0,9.0,60,3246,screen,ESACC,9.0,657.0391845240282,412.0194170181789,559.7682466878592,127.62444906835057,837.5753637733145,167.1406593262094,study,3188,obj2start,3.0,423,3,820.0,820.0,540.0,1373.2,700.8,650.0,210.0,210.0,295.5,255.6
57,1,2.0,9.0,430,3676,,EFIX,9.0,,668.9786020494229,,578.7748871538918,,856.3669598951143,study,3248,screen,3.0,423,3,820.0,820.0,540.0,,1391.4,650.0,210.0,210.0,,302.1
58,1,2.0,9.0,54,3730,screen,ESACC,9.0,522.5526002231736,645.5537932659059,376.867642548415,570.2032093911783,653.9764674665289,846.2740099991254,study,3678,screen,3.0,423,3,820.0,820.0,540.0,1190.1,1378.3,650.0,210.0,210.0,281.1,325.9
59,1,2.0,9.0,288,4018,,EFIX,9.0,,419.30486522338373,,109.76597833573022,,178.84230483864832,study,3732,obj2start,3.0,423,3,820.0,820.0,540.0,,715.6,650.0,210.0,210.0,,243.9
60,1,2.0,10.0,526,526,obj3end,ESACC,10.0,907.1738587503501,,1466.1529285855552,,94.89156969931524,,study,2,screen,4.0,423,4,1100.0,1660.0,260.0,195.5,,210.0,210.0,210.0,279.6,
61,1,2.0,10.0,24,550,,blink,10.0,,854.0278742523572,,1414.0168351190166,,15.608010763707208,study,528,obj3start,4.0,423,4,1100.0,1660.0,260.0,,246.0,210.0,210.0,210.0,,203.1
62,1,2.0,10.0,28,578,obj3end,ESACC,10.0,907.1738587503501,,1466.1529285855552,,94.89156969931524,,study,552,screen,4.0,423,4,1100.0,1660.0,260.0,195.5,,210.0,210.0,210.0,279.6,
63,1,2.0,10.0,110,688,,EFIX,10.0,,858.5525610001988,,1418.1369821001074,,45.96194077712559,study,580,obj3start,4.0,423,4,1100.0,1660.0,260.0,,242.5,210.0,210.0,210.0,,167.5
