,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
31,1,2.0,6.0,492,3950,,EFIX,6.0,,321.32340406512566,,676.9407137999605,,133.2543807910269,study,False,False,3460,obj3start,2.0,409,2,540.0,1100.0,540.0,,436.8,650.0,210.0,430.0,,345.7
32,1,2.0,6.0,34,3984,obj1end,ESACC,6.0,157.3396961990203,319.3667640816746,824.5991632302328,672.751908209854,246.0239419243582,129.4879531076154,study,False,False,3952,obj3start,2.0,409,2,540.0,1100.0,540.0,385.3,441.2,650.0,210.0,430.0,621.3,346.3
33,1,2.0,6.0,30,4014,,EFIX,6.0,,146.03605719136627,,827.3563500693036,,257.04966446194794,study,False,False,3986,obj1start,2.0,409,2,540.0,1100.0,540.0,,394.2,650.0,210.0,430.0,,641.7
34,1,2.0,15.0,318,320,,EFIX,15.0,,583.3910866648547,,432.8246296134267,,418.35052288720755,study,True,False,4,screen,3.0,409,3,1380.0,1100.0,540.0,,809.0,650.0,210.0,210.0,,530.4
35,1,2.0,15.0,40,360,obj2end,ESACC,15.0,651.8802420690475,571.3560886172475,173.9765788834807,415.03708268057204,389.8869708005129,419.9997380951565,study,True,False,322,screen,3.0,409,3,1380.0,1100.0,540.0,928.7,823.7,650.0,210.0,210.0,179.6,519.7
36,1,2.0,15.0,120,480,,EFIX,15.0,,682.9635422187629,,194.42016356335057,,380.03052508976174,study,True,False,362,screen,3.0,409,3,1380.0,1100.0,540.0,,915.2,650.0,210.0,210.0,,149.6
37,1,2.0,15.0,42,522,obj3end,ESACC,15.0,1112.492355029912,692.4954079270129,695.0505305371689,203.07114516838678,168.44951766033643,374.3446139588494,study,True,False,482,screen,3.0,409,3,1380.0,1100.0,540.0,414.0,908.3,650.0,210.0,210.0,98.2,143.0
38,1,2.0,15.0,658,1180,,EFIX,15.0,,1118.636370765764,,698.6353340620557,,175.80480653269979,study,True,False,524,obj3start,3.0,409,3,1380.0,1100.0,540.0,,411.8,650.0,210.0,210.0,,89.7
39,1,2.0,15.0,38,1218,screen,ESACC,15.0,723.2955827322603,1098.9357124054163,232.2509418710718,678.5953875469535,355.5341052557406,157.8724168434752,study,True,False,1182,obj3start,3.0,409,3,1380.0,1100.0,540.0,884.7,431.1,650.0,210.0,210.0,122.9,95.7
40,1,2.0,15.0,216,1434,,EFIX,15.0,,691.1631428251944,,190.24849539483884,,398.2593250634566,study,True,False,1220,screen,3.0,409,3,1380.0,1100.0,540.0,,929.3,650.0,210.0,210.0,,126.0
41,1,2.0,15.0,14,1448,obj2end,ESACC,15.0,660.3222016561309,674.0303405633904,142.10351860527592,165.39921402473473,467.36860185510966,427.69720597637763,study,True,False,1436,obj2start,3.0,409,3,1380.0,1100.0,540.0,997.0,958.9,650.0,210.0,210.0,112.1,123.7
42,1,2.0,15.0,412,1860,,EFIX,15.0,,652.5651308490211,,134.01958812054303,,472.73803527958273,study,True,False,1450,obj2start,3.0,409,3,1380.0,1100.0,540.0,,1003.5,650.0,210.0,210.0,,117.0
43,1,2.0,15.0,50,1910,obj1end,ESACC,15.0,91.16057261777145,642.6764037989881,433.44001891841975,123.32461230427604,861.1609895948609,481.70630056082933,study,True,False,1862,obj2start,3.0,409,3,1380.0,1100.0,540.0,1314.4,1013.6,650.0,210.0,210.0,586.7,122.0
44,1,2.0,15.0,1010,2920,,EFIX,15.0,,78.57493238940783,,444.3219778493969,,874.8565711018006,study,True,False,1912,obj1start,3.0,409,3,1380.0,1100.0,540.0,,1327.1,650.0,210.0,210.0,,591.9
45,1,2.0,15.0,22,2942,obj1end,ESACC,15.0,63.94888583861339,83.88623248185607,509.6601416630499,440.55975758119354,967.5336996714896,867.9336956242682,study,True,False,2922,obj1start,3.0,409,3,1380.0,1100.0,540.0,1423.9,1319.3,650.0,210.0,210.0,603.5,592.1
46,1,2.0,15.0,194,3136,,EFIX,15.0,,83.9980952164988,,528.136043079811,,992.6850860167084,study,True,False,2944,obj1start,3.0,409,3,1380.0,1100.0,540.0,,1450.8,650.0,210.0,210.0,,604.8
