SUBID,PIC,CONDITION,B_BT1 dist,B_R dist,BT1_R dist,B_BT2 dist,BT1_BT2 dist,BT2_R dist,ErrorD1-3,ErrorD2-3,ErrorD1-2,T1bias-accuracy,T2bias-accuracy,B_pract,280pix,Day1mem_RR,Day2mem_RR,Day3mem_RR,ConSuccess_RR,Day-3R,RC Day1mem,Day-2T1,Day-3T1,NR Day1mem,t1biasdiff_RR,t2biasdiff_RR,r order,t2worset3,ridworset3
401,177,1,165.2755,336.3807,197.2308,351.9787,187.2565,124.004,186.7032,15.59796,171.1052,-164.7222,-227.9747,4,1,0,0,0,0,0,0,0,0,0,12,13,28,0,0
401,101,1,216.7487,443.0406,229.131,530.5714,317.2412,88.11924,313.8227,87.53076,226.2919,-213.3302,-442.4522,2,1,0,0,0,0,0,0,0,0,0,12,13,94,0,0
401,92,1,226.8942,171.4934,238.3212,280,285.4768,109.7725,53.10575,108.5066,-55.40081,5.476794,-170.2275,4,1,0,0,0,0,0,0,0,0,0,0,13,81,0,0
401,126,1,250.7848,52.43091,210.6419,84.6286,188.4489,32.20248,-166.1562,32.19769,-198.3539,103.8203,-52.42612,2,1,0,2,3,4,5,0,0,0,0,0,13,121,0,0
401,58,1,263.3363,258.2344,24.18677,144.0868,132.382,136.1249,-119.2495,-114.1476,-5.101897,-11.70476,-7.961837,2,1,0,0,3,4,0,0,7,0,0,0,0,16,1,0
401,102,1,346.6252,98.48858,372.8391,297.2945,302.8746,233.9316,-49.33069,198.8059,-248.1366,5.580095,-63.36285,2,0,0,2,0,4,0,0,0,0,0,0,13,122,0,0
401,76,1,414.7445,413.0048,491.8699,305.0836,165.0242,525.6472,-109.6609,-107.9212,-1.739657,-140.0594,220.5636,2,0,0,0,0,4,0,0,0,0,0,12,0,4,1,1
401,37,1,448.318,576.74,406.1847,474.0264,86.16264,325.0015,25.7084,-102.7136,128.422,-387.8637,-149.0248,4,0,0,0,0,0,0,0,0,8,0,12,13,95,1,0
401,127,1,506.5096,283.7834,476.8071,162.5208,577.2495,191.0654,-343.9889,-121.2626,-222.7263,414.7287,28.54467,5,0,0,0,0,4,0,0,0,0,0,0,0,57,1,1
401,89,1,584.4399,321.5727,363.6661,324.2992,341.321,24.35159,-260.1407,2.726547,-262.8672,17.02172,-299.9477,6,0,0,0,0,4,5,0,0,0,0,0,13,131,0,0
401,59,2,12.72792,0,0,265.1886,277.8507,0,252.4607,0,0,12.66207,0,4,1,0,0,0,0,0,6,0,0,0,0,0,147,0,0
401,72,2,21.40093,0,0,122.0901,104.7855,0,100.6892,0,0,-17.30464,0,2,1,0,0,0,0,0,6,0,0,0,0,0,60,0,0
401,61,2,24.20744,0,0,116.5204,97.08244,0,92.31295,0,0,-19.43795,0,4,1,0,0,0,0,0,6,0,0,0,0,0,91,0,0
401,107,2,25,0,0,138.463,116.5204,0,113.463,0,0,-21.94261,0,2,1,0,0,0,0,0,6,0,0,0,0,0,19,0,0
401,90,2,30.06659,0,0,310.0145,340.0015,0,279.9479,0,0,29.98695,0,4,1,0,0,0,0,0,6,0,0,0,0,0,62,0,0
401,117,2,34.1321,0,0,37.57659,13,0,3.444492,0,0,-24.57659,0,6,1,0,0,0,0,0,6,0,0,0,0,0,15,0,0
401,57,2,44.55334,0,0,12.52996,42.94182,0,-32.02337,0,0,30.41186,0,2,1,0,0,0,0,0,6,0,0,0,0,0,79,0,0
401,39,2,48.27007,0,0,461.0423,459.6194,0,412.7722,0,0,-1.42289,0,3,1,0,0,0,0,0,6,0,0,0,0,0,52,0,0
