,block,cond,cuecond,duration,end,endloc,event,manip_accuracy,manip_objend,manip_objstart,manip_x,manip_y,other_objend,other_objstart,other_x,other_y,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,test_objend,test_objstart,test_x,test_y,testtrial,trialnum,xend,xstart,yend,ystart,recog+manip_accuracy,recog+manip+loc_accuracy,dom_all_accuracy
74,1,1.0,1,42,2698,offscreen,ESACC,True,447.46719432825466,572.4407130873903,325.0,197.0,406.0331144130981,447.035088108305,535.0,197.0,study,True,True,2658,test_objstart,3.0,920,231.255032377676,22.547061892849797,745.0,617.0,3.0,3,514.2,734.4,602.5,597.1,True,True,True
75,1,1.0,1,86,2784,,blink,True,,443.53617665304375,325.0,197.0,,405.7022800034528,535.0,197.0,study,True,True,2700,offscreen,3.0,920,,238.99025084718414,745.0,617.0,3.0,3,,506.5,,601.7,True,True,True
76,1,1.0,1,176,2960,offscreen,ESACC,True,417.660723554418,444.68857642174714,325.0,197.0,488.91357109411473,413.2093053163252,535.0,197.0,study,True,True,2786,offscreen,3.0,920,468.8288387034228,250.85440000127562,745.0,617.0,3.0,3,276.2,494.3,611.8,608.2,True,True,True
77,1,1.0,1,148,3108,,EFIX,True,,418.0955871568127,325.0,197.0,,488.68386509071485,535.0,197.0,study,True,True,2962,offscreen,3.0,920,,467.4226353098446,745.0,617.0,3.0,3,,277.6,,612.4,True,True,True
78,1,1.0,1,46,3154,offscreen,ESACC,True,385.67889493722623,420.71768443933985,325.0,197.0,347.6495505534273,489.51544408731377,535.0,197.0,study,True,True,3110,offscreen,3.0,920,259.52304329288376,464.1027580180924,745.0,617.0,3.0,3,496.4,280.9,542.5,615.4,True,True,True
79,1,1.0,1,130,3284,,EFIX,True,,385.466276086508,325.0,197.0,,350.42295872274127,535.0,197.0,study,True,True,3156,offscreen,3.0,920,,263.7048539560848,745.0,617.0,3.0,3,,491.4,,544.7,True,True,True
80,1,1.0,1,68,3352,other_objend,ESACC,True,186.11958521337834,386.6668462643261,325.0,197.0,24.052026941611363,351.2054242177931,535.0,197.0,study,True,True,3286,offscreen,3.0,920,478.3811242095574,262.5933167466377,745.0,617.0,3.0,3,511.1,492.3,199.7,545.6,True,True,True
81,1,1.0,1,170,3522,,EFIX,True,,185.55371190035515,325.0,197.0,,26.53639010867905,535.0,197.0,study,True,True,3354,other_objstart,3.0,920,,489.6184024319347,745.0,617.0,3.0,3,,510.3,,187.3,True,True,True
82,1,1.0,1,22,3544,other_objend,ESACC,True,258.2041440411055,183.91152764304908,325.0,197.0,55.887207838645836,28.485961454723597,535.0,197.0,study,True,True,3524,other_objstart,3.0,920,480.07226539345095,491.3119681017347,745.0,617.0,3.0,3,581.3,508.6,165.7,186.3,True,True,True
83,1,1.0,1,54,3598,,EFIX,True,,262.74706468388945,325.0,197.0,,59.649140815270734,535.0,197.0,study,True,True,3546,other_objstart,3.0,920,,478.3346318216987,745.0,617.0,3.0,3,,585.9,,165.9,True,True,True
