Subj,RT,response code,affect,up/in,old/new
154,746,2,s,up,1
154,435,2,s,up,1
155,1612,1,h,in,1
155,1540,1,h,in,1
155,379,1,h,in,1
155,414,1,h,in,1
155,430,1,h,in,1
155,571,1,h,in,1
155,287,2,h,in,1
155,284,1,h,in,1
155,881,1,l,in,2
155,698,1,l,in,2
155,644,1,l,in,2
155,455,1,l,in,2
155,502,1,l,in,2
155,511,1,l,in,2
155,586,1,l,in,2
155,373,1,l,in,2
155,583,1,l,in,2
155,405,1,l,in,2
155,550,2,l,in,2
155,444,1,l,in,2
155,412,1,l,in,2
155,437,1,l,in,2
155,139,1,l,in,2
155,394,1,l,in,2
155,1312,1,s,in,1
155,461,1,s,in,1
155,616,1,s,in,1
155,615,2,s,in,1
155,457,1,s,in,1
155,391,1,s,in,1
155,435,1,s,in,1
155,356,1,s,in,1
155,595,1,h,up,1
155,475,2,h,up,1
155,406,2,h,up,1
155,369,2,h,up,1
155,888,1,h,up,1
155,373,1,h,up,1
155,326,2,h,up,1
155,710,1,h,up,1
155,836,1,l,up,2
155,1116,2,l,up,2
155,808,1,l,up,2
155,820,1,l,up,2
155,1374,1,l,up,2
155,636,2,l,up,2
155,918,2,l,up,2
155,654,2,l,up,2
155,613,1,l,up,2
155,389,2,l,up,2
155,353,2,l,up,2
155,259,2,l,up,2
155,308,2,l,up,2
155,88,2,l,up,2
155,531,1,l,up,2
155,481,2,l,up,2
155,824,1,s,up,1
155,686,1,s,up,1
155,757,1,s,up,1
155,785,2,s,up,1
155,496,1,s,up,1
155,527,1,s,up,1
155,475,1,s,up,1
155,255,2,s,up,1
156,1005,1,h,in,1
156,1889,2,h,in,1
156,2040,1,h,in,1
156,889,1,h,in,1
156,1478,1,h,in,1
156,1802,2,h,in,1
156,704,2,h,in,1
156,1269,2,h,in,1
156,1497,1,l,in,2
156,1437,2,l,in,2
156,751,2,l,in,2
156,951,1,l,in,2
156,808,1,l,in,2
156,536,2,l,in,2
156,741,2,l,in,2
156,1263,2,l,in,2
156,900,1,l,in,2
156,745,2,l,in,2
156,523,1,l,in,2
156,929,2,l,in,2
156,1798,2,l,in,2
156,947,2,l,in,2
156,1566,1,l,in,2
156,1016,2,l,in,2
156,1745,1,s,in,1
156,1151,1,s,in,1
156,837,1,s,in,1
156,2098,1,s,in,1
156,1416,1,s,in,1
156,2720,1,s,in,1
156,1671,1,s,in,1
156,1064,2,s,in,1
156,1044,1,h,up,1
156,1081,1,h,up,1
156,860,1,h,up,1
156,753,1,h,up,1
156,918,1,h,up,1
156,824,1,h,up,1
156,1384,1,h,up,1
156,920,1,h,up,1
156,1026,1,l,up,2
156,2488,1,l,up,2
156,1120,2,l,up,2
156,715,2,l,up,2
156,697,1,l,up,2
156,694,2,l,up,2
156,3496,2,l,up,2
156,1162,2,l,up,2
156,729,1,l,up,2
156,737,1,l,up,2
156,605,2,l,up,2
156,2212,2,l,up,2
156,757,2,l,up,2
156,510,2,l,up,2
156,352,2,l,up,2
156,818,1,l,up,2
156,1822,1,s,up,1
156,868,1,s,up,1
156,808,1,s,up,1
156,3292,2,s,up,1
156,882,1,s,up,1
156,1154,1,s,up,1
156,782,1,s,up,1
156,1072,1,s,up,1
166,857,1,h,in,1
166,1574,2,h,in,1
166,1292,2,h,in,1
166,1701,2,h,in,1
166,2497,2,h,in,1
166,3285,2,h,in,1
166,1417,2,h,in,1
166,1903,1,h,in,1
166,895,2,l,in,2
166,785,2,l,in,2
166,1061,2,l,in,2
166,2582,1,l,in,2
166,3058,1,l,in,2
166,2312,1,l,in,2
166,1042,2,l,in,2
166,3002,2,l,in,2
