,prop,locs,cxt,cond
804,0.47619047619047616,2,0,act
805,0.5,2,0,act
806,0.5,2,0,act
807,0.5714285714285714,2,0,act
808,0.5789473684210527,2,0,act
809,0.5,2,0,act
810,0.6153846153846154,2,0,act
811,0.5,2,0,act
812,0.5714285714285714,2,0,act
813,0.4666666666666667,2,0,act
814,0.42857142857142855,2,0,act
815,0.6842105263157895,2,0,act
817,0.5,2,0,act
818,0.6111111111111112,2,0,act
819,0.4444444444444444,2,0,act
820,0.41935483870967744,2,0,act
821,0.5714285714285714,2,0,act
401,0.0,3,0,act
402,0.14285714285714285,3,0,act
403,0.1891891891891892,3,0,act
404,0.2,3,0,act
405,0.2777777777777778,3,0,act
406,0.275,3,0,act
407,0.21052631578947367,3,0,act
408,0.14285714285714285,3,0,act
409,0.2972972972972973,3,0,act
410,0.4,3,0,act
411,0.28125,3,0,act
412,0.08108108108108109,3,0,act
413,0.16129032258064516,3,0,act
414,0.2777777777777778,3,0,act
415,0.3333333333333333,3,0,act
416,0.1794871794871795,3,0,act
417,0.3076923076923077,3,0,act
418,0.16666666666666666,3,0,act
419,0.3235294117647059,3,0,act
420,0.17647058823529413,3,0,act
801,0.17647058823529413,3,0,act
802,0.16666666666666666,3,0,act
803,0.05263157894736842,3,0,act
804,0.14285714285714285,3,0,act
805,0.1111111111111111,3,0,act
806,0.16666666666666666,3,0,act
807,0.21428571428571427,3,0,act
808,0.05263157894736842,3,0,act
809,0.125,3,0,act
810,0.0,3,0,act
811,0.13636363636363635,3,0,act
812,0.21428571428571427,3,0,act
813,0.13333333333333333,3,0,act
814,0.19047619047619047,3,0,act
815,0.10526315789473684,3,0,act
817,0.21428571428571427,3,0,act
818,0.05555555555555555,3,0,act
819,0.16666666666666666,3,0,act
820,0.1935483870967742,3,0,act
821,0.047619047619047616,3,0,act
401,0.42857142857142855,1,1,act
402,0.11428571428571428,1,1,act
403,0.19444444444444445,1,1,act
404,0.20512820512820512,1,1,act
405,0.15789473684210525,1,1,act
406,0.28205128205128205,1,1,act
407,0.16216216216216217,1,1,act
408,0.2,1,1,act
409,0.2702702702702703,1,1,act
410,0.2857142857142857,1,1,act
411,0.4,1,1,act
412,0.21052631578947367,1,1,act
413,0.21875,1,1,act
414,0.21212121212121213,1,1,act
415,0.35135135135135137,1,1,act
416,0.1794871794871795,1,1,act
417,0.21621621621621623,1,1,act
418,0.25,1,1,act
419,0.23529411764705882,1,1,act
420,0.23684210526315788,1,1,act
801,0.125,1,1,act
802,0.17647058823529413,1,1,act
803,0.3157894736842105,1,1,act
804,0.19047619047619047,1,1,act
805,0.15789473684210525,1,1,act
806,0.07692307692307693,1,1,act
807,0.14285714285714285,1,1,act
808,0.3333333333333333,1,1,act
809,0.5,1,1,act
